date,day_of_week,num_of_inc
2016-10-24,monday,5
2016-10-25,tuesday,1
2016-10-26,wednesday,6
2016-10-27,thursday,7
2016-10-28,friday,2
2016-10-31,monday,7
2016-11-01,tuesday,6
2016-11-02,wednesday,2
2016-11-03,thursday,9
2016-11-04,friday,1
2016-11-07,monday,6
2016-11-08,tuesday,6
2016-11-09,wednesday,3
2016-11-10,thursday,7
2016-11-11,friday,2
2016-11-14,monday,4
2016-11-15,tuesday,1
2016-11-16,wednesday,3
2016-11-17,thursday,5
2016-11-18,friday,1
2016-11-21,monday,1
2016-11-22,tuesday,4
2016-11-23,wednesday,5
2016-11-24,thursday,0
2016-11-25,friday,3
2016-11-28,monday,2
2016-11-29,tuesday,3
2016-11-30,wednesday,3
2016-12-01,thursday,7
2016-12-02,friday,6
2016-12-05,monday,5
2016-12-06,tuesday,2
2016-12-07,wednesday,6
2016-12-08,thursday,5
2016-12-09,friday,1
2016-12-12,monday,3
2016-12-13,tuesday,6
2016-12-14,wednesday,6
2016-12-15,thursday,1
2016-12-16,friday,2
2016-12-19,monday,3
2016-12-20,tuesday,6
2016-12-21,wednesday,4
2016-12-22,thursday,1
2016-12-23,friday,0
2016-12-26,monday,0
2016-12-27,tuesday,1
2016-12-28,wednesday,2
2016-12-29,thursday,1
2016-12-30,friday,1
2017-01-02,monday,1
2017-01-03,tuesday,1
2017-01-04,wednesday,2
2017-01-05,thursday,1
2017-01-06,friday,1
2017-01-09,monday,1
2017-01-10,tuesday,3
2017-01-11,wednesday,2
2017-01-12,thursday,10
2017-01-13,friday,8
2017-01-16,monday,
2017-01-17,tuesday,
2017-01-18,wednesday,
2017-01-19,thursday,
2017-01-20,friday,